
============================================================
PHASE 2: Final Training (Epochs: 40)
============================================================
Epoch 01 | Acc: 86.28% | FPO: 2005.9G | DM: 35.8GB
Epoch 02 | Acc: 91.36% | FPO: 4011.8G | DM: 71.6GB
Epoch 03 | Acc: 92.42% | FPO: 6017.8G | DM: 107.5GB
Epoch 04 | Acc: 93.22% | FPO: 8023.7G | DM: 143.3GB
Epoch 05 | Acc: 93.52% | FPO: 10029.6G | DM: 179.1GB
Epoch 06 | Acc: 93.84% | FPO: 12035.5G | DM: 214.9GB
Epoch 07 | Acc: 94.28% | FPO: 14041.4G | DM: 250.8GB
Epoch 08 | Acc: 94.46% | FPO: 16047.4G | DM: 286.6GB
Epoch 09 | Acc: 94.68% | FPO: 18053.3G | DM: 322.4GB
Epoch 10 | Acc: 94.90% | FPO: 20059.2G | DM: 358.2GB
Epoch 11 | Acc: 94.88% | FPO: 22065.1G | DM: 394.0GB
Epoch 12 | Acc: 94.98% | FPO: 24071.0G | DM: 429.9GB
Epoch 13 | Acc: 95.04% | FPO: 26077.0G | DM: 465.7GB
Epoch 14 | Acc: 95.04% | FPO: 28082.9G | DM: 501.5GB
Epoch 15 | Acc: 95.36% | FPO: 30088.8G | DM: 537.3GB
Epoch 16 | Acc: 95.30% | FPO: 32094.7G | DM: 573.2GB
Epoch 17 | Acc: 95.44% | FPO: 34100.6G | DM: 609.0GB
Epoch 18 | Acc: 95.54% | FPO: 36106.6G | DM: 644.8GB
Epoch 19 | Acc: 95.72% | FPO: 38112.5G | DM: 680.6GB
Epoch 20 | Acc: 95.64% | FPO: 40118.4G | DM: 716.5GB
Epoch 21 | Acc: 95.72% | FPO: 42124.3G | DM: 752.3GB
Epoch 22 | Acc: 95.70% | FPO: 44130.2G | DM: 788.1GB
Epoch 23 | Acc: 95.64% | FPO: 46136.2G | DM: 823.9GB
Epoch 24 | Acc: 95.72% | FPO: 48142.1G | DM: 859.7GB
Epoch 25 | Acc: 95.72% | FPO: 50148.0G | DM: 895.6GB
Epoch 26 | Acc: 95.74% | FPO: 52153.9G | DM: 931.4GB
Epoch 27 | Acc: 95.84% | FPO: 54159.8G | DM: 967.2GB
Epoch 28 | Acc: 95.86% | FPO: 56165.8G | DM: 1003.0GB
Epoch 29 | Acc: 96.14% | FPO: 58171.7G | DM: 1038.9GB
Epoch 30 | Acc: 95.94% | FPO: 60177.6G | DM: 1074.7GB
Epoch 31 | Acc: 96.10% | FPO: 62183.5G | DM: 1110.5GB
Epoch 32 | Acc: 95.78% | FPO: 64189.4G | DM: 1146.3GB
Epoch 33 | Acc: 96.12% | FPO: 66195.4G | DM: 1182.1GB
Epoch 34 | Acc: 96.36% | FPO: 68201.3G | DM: 1218.0GB
Epoch 35 | Acc: 96.16% | FPO: 70207.2G | DM: 1253.8GB
Epoch 36 | Acc: 96.20% | FPO: 72213.1G | DM: 1289.6GB
Epoch 37 | Acc: 96.32% | FPO: 74219.0G | DM: 1325.4GB
Epoch 38 | Acc: 96.30% | FPO: 76225.0G | DM: 1361.3GB
Epoch 39 | Acc: 96.30% | FPO: 78230.9G | DM: 1397.1GB
Epoch 40 | Acc: 96.26% | FPO: 80236.8G | DM: 1432.9GB
Computing Final RMSE and generating images...
Results saved: logs/error_trends_20260201_174108.png, logs/generated_digits_20260201_174108.png
